LIST,SIZE,SPEC
11LBA30-BR303-GB2B-DN20,20,LBA
11LBA30-BR304-GB2B-DN20,20,LBA
11LBA30-BR305-GB2B-DN20,20,LBA
11LBA30-BR306-GB2B-DN20,20,LBA
11LBA30-BR319-GB2B-DN20,20,LBA
11LBA30-BR321-GB2B-DN20,20,LBA
11LBB10-BR301-DA3N-DN20,20,LBB
11LBB10-BR302-DA3N-DN20,20,LBB
11LBB10-BR303-DA3N-DN20,20,LBB
11LBB10-BR304-DA3N-DN20,20,LBB
11LBB10-BR305-DA3N-DN20,20,LBB
11LBB10-BR306-DA3N-DN20,20,LBB
11LBB10-BR307-DA3N-DN20,20,LBB
11LBB10-BR308-DA3N-DN20,20,LBB
11LBC10-BR301-DA6N-DN20,20,LBC
11LBC10-BR302-DA6N-DN20,20,LBC
11LCA20-BR301-EB3B-DN20,20,LCA
11LCA20-BR302-EB3B-DN20,20,LCA
11LCA20-BR303-EB3B-DN20,20,LCA
11LCA20-BR304-EB3B-DN20,20,LCA
11LCA20-BR306-EB3B-DN20,20,LCA
11LCA20-BR307-EB3B-DN20,20,LCA
11LCB10-BR301-EB3N-DN20,20,LCB
11LCB10-BR302-EB3N-DN20,20,LCB
11LCB10-BR303-EB3N-DN20,20,LCB
11LCB10-BR304-EB3N-DN20,20,LCB
11LCB10-BR305-EB3N-DN20,20,LCB
11LCB10-BR306-EB3N-DN20,20,LCB
11LCB20-BR301-EB4N-DN20,20,LCB
11LCB20-BR302-EB4N-DN20,20,LCB
11LCB30-BR301-EB4N-DN20,20,LCB
11LCB30-BR302-EB4N-DN20,20,LCB
11LCB30-BR303-EB4N-DN20,20,LCB
11LCB30-BR304-EB4N-DN20,20,LCB
11LCQ10-BR307-HB1N-DN20,20,LCQ
11LCQ10-BR503-HB1B-DN20,20,LCQ
11LCQ20-BR307-HB3N-DN20,20,LCQ
11LCQ30-BR310-HB3N-DN20,20,LCQ
11LCQ30-BR311-HB3N-DN20,20,LCQ
11LCQ30-BR312-HB3N-DN20,20,LCQ
11LCQ30-BR313-HB3N-DN20,20,LCQ
11LCQ30-BR314-HB3N-DN20,20,LCQ
11LCQ30-BR315-HB3N-DN20,20,LCQ
11LCQ40-BR301-HB3N-DN20,20,LCQ
11LCQ40-BR302-HB3N-DN20,20,LCQ
11LCQ40-BR303-HB3N-DN20,20,LCQ
11LCQ40-BR304-HB3N-DN20,20,LCQ
11QFB72-BR001-HC3N-DN20,20,QFB
11QFB72-BR002HC3N-DN20,20,QFB
11QFB72-BR003-HC3N-DN20,20,QFB
11QFB72-BR004-HC3N-DN20,20,QFB
11QFB72-BR005-HC3N-DN20,20,QFB
11QFB72-BR006-HC3N-DN20,20,QFB
11QFB72-BR008-HC3N-DN20,20,QFB
11QFB72-BR009-HC3N-DN20,20,QFB
11QFB72-BR010-HC3N-DN20,20,QFB
11QFB72-BR011-HC3N-DN20,20,QFB
11QFB72-BR013-HC3N-DN20,20,QFB
11QFB72-BR014-HC3N-DN20,20,QFB
11QFB72-BR015HC3N-DN20,20,QFB
11QFB72-BR016-HC3N-DN20,20,QFB
11QFB72-BR018-HC3N-DN20,20,QFB
11QFB72-BR019-HC3N-DN20,20,QFB
11QFB72-BR020-HC3N-DN20,20,QFB
11QFB72-BR032-HC3N-DN20,20,QFB
11QFB72-BR041-HC3N-DN20,20,QFB
11QFB72-BR042-HC3N-DN20,20,QFB
11QFB72-BR043-HC3N-DN20,20,QFB
11QFB72-BR044-HC3N-DN20,20,QFB
11QUB10-BR601-CB3B-DN20,20,QUB
11QUB10-BR602-CB3N-DN20,20,QUB
11QUB20-BR601-BA1B-DN20,20,QUB
11QUB20-BR602-BA1N-DN20,20,QUB
11QUB30-BR601-DA3N-DN20,20,QUB
11QUB40-BR601-EB2B-DN20,20,QUB
11QUB40-BR602-EB2N-DN20,20,QUB
11QUB50-BR601-EB2B-DN20,20,QUB
11QUB50-BR602-EB2N-DN20,20,QUB
11QUW10-BR601-CB3B-DN20,20,QUW
11QUW10-BR602-CB3N-DN20,20,QUW
11QUW20-BR601-EB1B-DN20,20,QUW
11QUW20-BR602-EB1N-DN20,20,QUW
11QUW30-BR601-GB2B-DN20,20,QUW
10GHD41-BR002-HB41-DN25,25,GHD
10GHD41-BR003-HB41-DN25,25,GHD
10GHD41-BR004-HB41-DN25,25,GHD
10GHD41-BR005-HB41-DN25,25,GHD
10GHD41-BR008-HB41-DN25,25,GHD
10GHD41-BR009-HB41-DN25,25,GHD
